id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_letter,correct_answer,explanation,source_line
q131,safety,journeyman,Why should a voltage tester be checked on a known live source both before and after proving dead?,To confirm the tester worked throughout the test,To increase circuit voltage,To discharge the installation,To measure earth resistance,A,To confirm the tester worked throughout the test,A live-dead-live check confirms the tester functioned before and after the zero-voltage test.,2695
q132,safety,master,"Before work where arc-flash energy may be present, what should determine the required controls and PPE?",The worker’s preferred clothing color,A documented risk assessment and applicable safety requirements,The equipment brand alone,The room temperature alone,B,A documented risk assessment and applicable safety requirements,"Arc-flash controls and PPE must be selected from a competent risk assessment, equipment data, and applicable rules.",2717
q133,safety,journeyman,Why can a disconnected capacitor still be hazardous?,It always produces mechanical rotation,Its resistance becomes zero forever,It changes AC frequency,It may retain a dangerous stored charge,D,It may retain a dangerous stored charge,Capacitors can retain energy after disconnection and must be discharged and verified using the manufacturer’s safe procedure.,2739
q134,safety,beginner,What should be done with an extension lead that has exposed conductors or a damaged plug?,Continue using it at lower current,Remove it from service and have it properly repaired or replaced,Cover it with paper,Use it only outdoors in rain,B,Remove it from service and have it properly repaired or replaced,"Damaged leads can cause shock, short circuit, or fire and should be isolated from use until correctly repaired or replaced.",2760
q135,safety,beginner,Why should metal jewelry be removed before electrical work?,It reduces power factor,It increases insulation resistance,"It can bridge conductors, heat rapidly, and worsen injury",It prevents lockout,C,"It can bridge conductors, heat rapidly, and worsen injury",Metal jewelry can cause a short circuit and severe burns if it contacts energized parts.,2782
q136,safety,master,"Near a ground fault, what do touch and step potentials describe?",Two types of cable insulation,Two motor speed settings,Two breaker trip curves only,Different voltages that can drive current through a person,D,Different voltages that can drive current through a person,"Ground potential rise can create voltage between touched equipment and feet, or between a person’s feet, causing shock current.",2803
q137,safety,journeyman,"Before isolating a hybrid solar installation, which sources must be considered?",Only the utility supply,Only the neutral conductor,"Utility, PV, battery, generator, and stored-energy sources as applicable",Only the monitoring app,C,"Utility, PV, battery, generator, and stored-energy sources as applicable",Hybrid systems can have multiple independent sources; every applicable source and stored-energy hazard must be identified and isolated.,2825
q138,safety,journeyman,Does an RCD remove the need for a protective earth conductor?,"Yes, for every circuit","Yes, if the load is small",Only when the neutral is disconnected,"No, RCD protection and protective earthing serve different functions",D,"No, RCD protection and protective earthing serve different functions",An RCD provides residual-current protection but does not replace required protective earthing and bonding.,2847
q139,safety,journeyman,Who should normally remove a personal lock used for lockout/tagout?,Any available worker,"The person who applied it, following the site procedure",The equipment supplier only,A customer without authorization,B,"The person who applied it, following the site procedure",Personal locks are normally removed by their owner; exceptional removal requires a controlled and documented site procedure.,2868
q140,safety,beginner,"After safely disconnecting power to an electrical-shock casualty, what is the next priority?",Re-energize the circuit,Apply water to energized equipment,Call emergency help and assess breathing/response using trained first aid,Leave the casualty alone,C,Call emergency help and assess breathing/response using trained first aid,"After making the scene electrically safe, summon emergency assistance and provide trained first aid or CPR as required.",2890
q141,circuits,journeyman,What does Kirchhoff’s Voltage Law state for a closed loop?,The algebraic sum of voltages around the loop is zero,All branch currents are equal,Resistance is always zero,Power factor is always one,A,The algebraic sum of voltages around the loop is zero,Kirchhoff’s Voltage Law states that voltage rises and drops around a complete loop sum algebraically to zero.,2912
q142,circuits,journeyman,"At a node, 8 A enters while 3 A leaves through one branch. How much current must leave through the other branch?",2 A,5 A,8 A,11 A,B,5 A,"By Kirchhoff’s Current Law, current entering equals current leaving: 8 = 3 + 5 A.",2933
q143,circuits,journeyman,"For the same real power and voltage, what usually happens to current when power factor decreases?",It increases,It decreases,It remains exactly unchanged,It becomes zero,A,It increases,"For a given real power, lower power factor requires higher current, increasing losses and voltage drop.",2950
q144,circuits,journeyman,"In a delta-connected load, how does phase voltage compare with line voltage?",Phase voltage is line voltage divided by √3,Phase voltage is three times line voltage,Phase voltage equals line voltage,Phase voltage is always zero,C,Phase voltage equals line voltage,"Each delta phase is connected directly between two lines, so phase voltage equals line voltage.",2972
q145,circuits,master,"In a balanced star-connected load, how does line current compare with phase current?",Line current is √3 times phase current,Line current is phase current divided by three,Line current is always zero,Line current equals phase current,D,Line current equals phase current,"In a star connection, each line conductor carries the current of its associated phase, so Iline = Iphase.",2994
q146,circuits,journeyman,"For a perfectly balanced three-phase four-wire load with sinusoidal currents, what is the neutral current?",Approximately zero,Equal to one phase current,Three times one phase current,Always greater than line current,A,Approximately zero,The three equal phase currents are 120 degrees apart and cancel vectorially in the neutral.,3016
q147,circuits,journeyman,"In an ideal inductive AC load, current has which phase relationship to voltage?",Current leads voltage,Current is always zero,Current doubles frequency,Current lags voltage,D,Current lags voltage,"Inductance opposes changes in current, so current lags voltage in an ideal inductive load.",3038
q148,circuits,journeyman,"In an ideal capacitive AC load, current has which phase relationship to voltage?",Current leads voltage,Current lags voltage,Current has no waveform,Current becomes DC,A,Current leads voltage,"In an ideal capacitor, current leads voltage by 90 degrees.",3060
q149,circuits,journeyman,What is the equivalent resistance of 6 Ω and 3 Ω connected in parallel?,1 Ω,2 Ω,3 Ω,9 Ω,B,2 Ω,"1/R = 1/6 + 1/3 = 3/6, so R = 2 Ω.",3082
q150,circuits,master,A load receives low voltage only when high current flows. What should be investigated first?,The breaker brand only,The transformer ratio only,The meter display brightness only,"Excessive circuit impedance, loose connections, and conductor voltage drop",D,"Excessive circuit impedance, loose connections, and conductor voltage drop","A current-dependent voltage reduction commonly points to excessive impedance, undersized conductors, or high-resistance joints.",3098
q151,calculations,beginner,What power is used by a 230 V resistive load drawing 10 A?,230 W,1.0 kW,23 kW,2.3 kW,D,2.3 kW,P = V × I = 230 × 10 = 2300 W = 2.3 kW.,3120
q152,calculations,beginner,How much energy does a 2 kW heater use in 3 hours?,6 kWh,0.67 kWh,5 kWh,9 kWh,A,6 kWh,Energy = power × time = 2 kW × 3 h = 6 kWh.,3135
q153,calculations,journeyman,Approximately what line current does a balanced 10 kW three-phase load draw at 400 V and 0.8 power factor?,9 A,31 A,18 A,50 A,C,18 A,I = P/(√3 × V × PF) = 10000/(1.732 × 400 × 0.8) ≈ 18 A.,3150
q154,calculations,beginner,An 8 V drop occurs on a 230 V circuit. What is the approximate voltage-drop percentage?,1.7%,3.5%,8.0%,28.8%,B,3.5%,"Voltage-drop percentage = 8/230 × 100 ≈ 3.48%, which rounds to about 3.5%.",3166
q155,calculations,journeyman,What is the equivalent resistance of 12 Ω and 4 Ω in parallel?,2 Ω,4 Ω,16 Ω,3 Ω,D,3 Ω,R = (12 × 4)/(12 + 4) = 48/16 = 3 Ω.,3183
q156,calculations,beginner,"What is the nominal stored energy of a 48 V, 100 Ah battery bank?",0.48 kWh,48 kWh,4.8 kWh,480 kWh,C,4.8 kWh,"Nominal energy = V × Ah = 48 × 100 = 4800 Wh = 4.8 kWh, before usable-depth and efficiency limits.",3199
q157,calculations,beginner,How many 550 W panels provide a nominal 5.5 kW array?,5 panels,10 panels,8 panels,12 panels,B,10 panels,Panel count = 5500 W / 550 W = 10 panels.,3216
q158,calculations,journeyman,"Using a 125% planning factor, what design current results from a continuous 16 A load?",20 A,12.8 A,16 A,25 A,A,20 A,Design current = 16 A × 1.25 = 20 A; final cable and protection selection still requires applicable tables and conditions.,3231
q159,calculations,journeyman,"For an ideal 230 V-to-23 V transformer, what secondary current corresponds to 2 A primary current?",0.2 A,20 A,2 A,10 A,B,20 A,"For an ideal transformer, VpIp = VsIs, so Is = 230 × 2 / 23 = 20 A.",3248
q160,calculations,journeyman,How much heat is produced by 2 A through 5 Ω for 10 seconds?,200 J,20 J,50 J,100 J,A,200 J,Joule heating H = I²Rt = 2² × 5 × 10 = 200 J.,3265
q161,motors,journeyman,"A 4-pole, 50 Hz induction motor runs at 1450 rpm. What is its approximate slip?",3.3%,1.0%,5.0%,50%,A,3.3%,"Synchronous speed is 1500 rpm, so slip = (1500 − 1450)/1500 × 100 ≈ 3.3%.",3280
q162,motors,journeyman,Which fault is an overload relay not intended to clear by itself?,Sustained overload,Phase-to-phase short circuit,Locked-rotor overcurrent over time,Single-phasing overload effect,B,Phase-to-phase short circuit,Short circuits require correctly rated short-circuit protective devices; an overload relay is primarily for sustained motor overload.,3297
q163,motors,journeyman,What is the purpose of the contactor auxiliary holding contact in a DOL starter?,Maintain coil energization after START is released,Provide the main short-circuit protection,Change motor frequency,Replace the STOP contact,A,Maintain coil energization after START is released,The normally open auxiliary contact seals around the momentary START button and keeps the contactor coil energized.,3319
q164,motors,journeyman,Which combination commonly suggests phase loss on a running three-phase motor?,Balanced current and normal temperature,"Current imbalance, reduced torque, and overheating",Zero slip at every load,Higher insulation resistance only,B,"Current imbalance, reduced torque, and overheating","Loss of one phase can cause severe current imbalance, low torque, vibration, and rapid motor overheating.",3341
q165,motors,master,"Before insulation-resistance testing a motor circuit containing a VFD, what is essential?",Test through the connected VFD at any voltage,Short all phases to live supply,Remove protective earth permanently,Disconnect or protect electronic equipment according to manufacturer instructions,D,Disconnect or protect electronic equipment according to manufacturer instructions,"Insulation-test voltage can damage drives and electronics, so isolate them and follow equipment-specific test instructions.",3363
q166,motors,journeyman,A motor repeatedly trips its overload after running for several minutes. What should be checked?,Replace the overload relay without measurements,Increase the breaker rating immediately,"Mechanical load, current on each phase, supply voltage, cooling, and overload setting",Reset repeatedly without checking current,C,"Mechanical load, current on each phase, supply voltage, cooling, and overload setting","A delayed overload trip can result from excess load, voltage/current imbalance, cooling problems, or an incorrect relay setting.",3385
q167,motors,master,Which motor connection is normally required for a conventional star-delta starter on a 400 V supply?,A six-lead motor designed to run in delta at the line voltage,A motor with only three inaccessible leads,A single-phase capacitor motor,A DC series motor,A,A six-lead motor designed to run in delta at the line voltage,Star-delta starting requires access to both ends of all three windings and a motor rated to run in delta at the supply line voltage.,3407
q168,motors,journeyman,"Below base speed, which VFD output quantity primarily sets induction-motor speed?",Earth-electrode resistance,Contactor coil color,Frequency,Bearing grease brand,C,Frequency,Induction-motor synchronous speed is proportional to supply frequency; the VFD also manages voltage to maintain suitable flux.,3429
q169,motors,beginner,How is the rotation direction of a typical three-phase motor reversed?,Swap neutral and earth,Increase all conductor sizes,Open the overload contact permanently,Swap any two phase conductors,D,Swap any two phase conductors,Interchanging any two supply phases reverses the rotating magnetic field and normally reverses motor direction.,3451
q170,motors,journeyman,Which maintenance finding most strongly suggests a deteriorating motor bearing?,Stable low vibration,Normal bearing temperature,"Increasing vibration, noise, or bearing temperature",Balanced phase currents alone,C,"Increasing vibration, noise, or bearing temperature","Trending vibration, acoustic noise, and bearing temperature can reveal bearing deterioration before failure.",3473
q171,solar,beginner,"When identical PV modules are connected in series, what primarily increases?",Voltage,Current only,Module area,Grid frequency,A,Voltage,Series-connected module voltages add while the string current is limited by the module/string current.,3495
q172,solar,beginner,"When identical PV strings are connected in parallel, what primarily increases?",Voltage only,Each module Voc,AC frequency,Current capacity,D,Current capacity,Parallel string currents add while the array voltage remains approximately the string voltage.,3512
q173,solar,journeyman,How does cold module temperature normally affect PV open-circuit voltage?,It always reduces Voc to zero,It normally increases Voc,It changes DC into AC,It has no possible effect,B,It normally increases Voc,"PV open-circuit voltage generally rises as cell temperature falls, so cold-condition Voc must be checked against inverter limits.",3534
q174,solar,journeyman,What should the operating Vmp of a PV string satisfy for reliable MPPT operation?,It must always equal zero,It should exceed the inverter absolute maximum,It should remain within the inverter MPPT voltage window,It only needs to match grid frequency,C,It should remain within the inverter MPPT voltage window,The expected string operating voltage across temperature conditions should remain within the inverter’s MPPT operating range.,3556
q175,solar,journeyman,What mainly determines the minimum output-current rating of a battery charge controller?,The enclosure color,Expected charging current with required design margin,The AC socket count only,The panel frame material only,B,Expected charging current with required design margin,"Controller current rating must cover the calculated maximum charging current, applicable continuous factors, and manufacturer requirements.",3578
q176,solar,beginner,What happens when identical batteries are connected in series?,Ampere-hour capacity adds while voltage stays the same,Both voltage and Ah become zero,The batteries produce AC,Voltage adds while ampere-hour capacity remains the same,D,Voltage adds while ampere-hour capacity remains the same,"In a series bank, battery voltages add while the ampere-hour rating remains that of one identical series string.",3600
q177,solar,beginner,What happens when identical battery strings are connected in parallel?,Voltage adds and Ah stays the same,Voltage stays the same while ampere-hour capacity adds,Frequency doubles,Polarity becomes irrelevant,B,Voltage stays the same while ampere-hour capacity adds,Parallel battery strings retain the same nominal voltage and add their ampere-hour capacities.,3622
q178,solar,journeyman,What is a primary function of a lithium-battery BMS?,Convert all DC directly to grid AC,Replace every external fuse and isolator,"Monitor and protect cells against unsafe voltage, current, and temperature conditions",Increase solar irradiance,C,"Monitor and protect cells against unsafe voltage, current, and temperature conditions","A BMS monitors cells and applies limits or disconnection for unsafe voltage, current, temperature, and imbalance conditions.",3644
q179,solar,journeyman,Why is interruption of a DC arc generally more difficult than interruption of an AC arc?,DC has no natural current zero crossing each cycle,DC has no voltage,AC cannot arc,DC conductors have no resistance,A,DC has no natural current zero crossing each cycle,"AC current crosses zero every cycle, helping extinguish an arc; DC requires devices specifically designed to interrupt sustained arcs.",3665
q180,solar,master,"When commissioning a hybrid inverter backup output, what must be verified?",Only the mobile-app theme,Only the PV module color,"Output isolation, neutral-earth arrangement, transfer behavior, and protected-load limits",That all building loads are connected regardless of rating,C,"Output isolation, neutral-earth arrangement, transfer behavior, and protected-load limits","Backup outputs require verified isolation/transfer behavior, earthing and neutral design, protection, and load limits according to the system design.",3687
q181,standards,beginner,Which edition of a standard should be used for a new design?,Any old copy found online,The currently applicable official edition and amendments accepted by the authority,A social-media summary only,The edition with the fewest pages,B,The currently applicable official edition and amendments accepted by the authority,"Design work should use the edition, amendments, and local requirements currently adopted by the responsible authority.",3709
q182,standards,journeyman,Why should commissioning test results be recorded?,To replace the protective devices,To avoid identifying circuits,To demonstrate verification and provide a baseline for maintenance,To make future testing impossible,C,To demonstrate verification and provide a baseline for maintenance,"Documented results support compliance, traceability, future maintenance, and comparison when faults develop.",3730
q183,standards,journeyman,"When coordinating a cable and an overcurrent protective device, what principle is essential?",The breaker may always be larger than the cable capacity,Cable color determines the breaker rating,The protective device is optional when a label is fitted,The device rating and operating characteristics must protect the cable under the applicable conditions,D,The device rating and operating characteristics must protect the cable under the applicable conditions,Protection must be selected so the conductor is not subjected to damaging overload or fault energy under the applicable installation conditions.,3751
q184,standards,journeyman,Does pressing an RCD test button replace periodic instrument testing required by applicable rules?,"Yes, in every installation","Yes, if the button is colored blue","No, the test button is a functional check and does not replace required verification",Only when protective earth is absent,C,"No, the test button is a functional check and does not replace required verification",The built-in button checks a functional trip mechanism; required trip-time/current verification needs suitable test equipment and procedures.,3773
q185,standards,beginner,Can conductor color alone be accepted as proof that a circuit is dead?,"Yes, color is conclusive","Yes, when the cable is new",Only for three-phase circuits,"No, identify, isolate, and test with suitable equipment",D,"No, identify, isolate, and test with suitable equipment","Colors can be incorrect, altered, or legacy; safe isolation requires proper identification and electrical testing.",3795
q186,standards,journeyman,What does an equipment IP rating describe?,The maximum power factor,"Protection against access, solid objects, and water ingress",The conductor material,The utility tariff class,B,"Protection against access, solid objects, and water ingress","Ingress Protection ratings classify enclosure protection against access to hazardous parts, solids, and water.",3817
q187,standards,master,Why must a protective device’s breaking capacity be checked against prospective fault current?,The device must safely interrupt the available fault current,Breaking capacity controls cable color,A lower rating always trips faster and safely,Fault current is unrelated to protective devices,A,The device must safely interrupt the available fault current,A protective device must have adequate rated breaking capacity for the maximum prospective short-circuit current at its installation point.,3838
q188,standards,journeyman,"After a significant electrical modification, what documentation should be updated?",Only the customer’s wallpaper,Nothing if the circuit operates,"Circuit schedules, drawings, labels, settings, and test records as applicable",Only the invoice number,C,"Circuit schedules, drawings, labels, settings, and test records as applicable","Accurate records and labels are needed for safe operation, future isolation, maintenance, inspection, and emergency response.",3860
q189,standards,journeyman,What is an important requirement for an isolation device used during maintenance?,"It must be suitable, identifiable, accessible, and capable of secure isolation where required",It should be hidden and unlabeled,It may depend only on software without design verification,It should interrupt protective earth first,A,"It must be suitable, identifiable, accessible, and capable of secure isolation where required","Maintenance isolation must use appropriately rated and identifiable means, with secure lockout where required by the procedure.",3882
q190,standards,master,"For an EV charging installation, which sources should determine RCD type and earthing arrangements?",A generic extension-lead label only,The vehicle color,A domestic lamp-circuit diagram,"Applicable local rules, supply characteristics, charger instructions, and competent design",D,"Applicable local rules, supply characteristics, charger instructions, and competent design","EV protection and earthing depend on the supply system, charger design, local requirements, and manufacturer instructions.",3904
q191,master,master,What information is most useful when assessing selectivity between two circuit breakers?,Their enclosure colors,Their time-current characteristics and manufacturer selectivity data,Their purchase dates only,The length of their labels,B,Their time-current characteristics and manufacturer selectivity data,"Selectivity assessment uses device curves, fault levels, settings, and tested manufacturer coordination tables.",3926
q192,master,master,Why must the secondary of an energized current transformer not be left open-circuit?,Dangerously high voltage can develop,The primary current becomes zero safely,It improves measurement accuracy,It reduces insulation stress,A,Dangerously high voltage can develop,An open CT secondary can develop hazardous voltage and overheat the core; use approved shorting and isolation procedures.,3948
q193,master,master,"In a harmonic-rich installation, why might a detuned reactor be used with a capacitor bank?",To increase neutral current intentionally,To reduce harmonic resonance and protect capacitors,To remove all overcurrent protection,To convert the bank to DC,B,To reduce harmonic resonance and protect capacitors,Detuned reactors shift the resonant frequency and limit harmful harmonic currents in power-factor correction equipment.,3970
q194,master,master,A transformer causes nuisance instantaneous tripping only at energization. What phenomenon should be considered?,Magnetizing inrush current,Normal earth continuity,Improved power factor,Reduced prospective fault current,A,Magnetizing inrush current,Transformer energization can produce a high asymmetrical magnetizing inrush that must be considered in protection selection and coordination.,3992
q195,master,master,Why may overcurrent protection alone fail to clear a high-impedance earth fault quickly?,Earth faults always have infinite current,Overcurrent devices respond only to frequency,Fault current may be below the overcurrent trip threshold,Protective earth blocks all fault current,C,Fault current may be below the overcurrent trip threshold,"A high-impedance fault can limit current below the overcurrent device’s prompt operating level, requiring appropriate earth-fault/residual protection.",4014
q196,master,master,What determines whether an ATS should switch the neutral conductor?,The ATS enclosure color,"The earthing system, source arrangement, equipment design, and applicable rules",The generator fuel level only,The number of outgoing labels,B,"The earthing system, source arrangement, equipment design, and applicable rules","Neutral switching affects bonding, fault paths, and source separation and must follow the engineered earthing/source arrangement.",4036
q197,master,master,"Before two AC generators are paralleled, which conditions must be matched?",Only enclosure temperature,Only fuel-tank size,"Voltage, frequency, phase sequence, and phase angle",Only neutral-conductor color,C,"Voltage, frequency, phase sequence, and phase angle","Safe synchronization requires compatible voltage and frequency, the same phase sequence, and close phase-angle alignment.",4058
q198,master,master,"For a long VFD-to-motor cable, what issue may require an output reactor or dV/dt filter?",Reflected-wave voltage stress on motor insulation,Lower utility tariff,Loss of protective-earth color,Mechanical shaft alignment only,A,Reflected-wave voltage stress on motor insulation,Fast VFD voltage edges and long cables can create reflected-wave overvoltage at the motor; follow drive and motor guidance.,4080
q199,master,master,Why can the neutral conductor need special consideration with many single-phase nonlinear loads?,All harmonic currents cancel completely,The neutral carries no current by definition,Triplen harmonic currents can add in the neutral,Nonlinear loads always have unity power factor,C,Triplen harmonic currents can add in the neutral,"Zero-sequence triplen harmonics from nonlinear loads can add rather than cancel in a shared neutral, causing overheating.",4102
q200,master,master,"Before applying an insulation-resistance test voltage to a circuit with electronic equipment, what should be done?",Apply the highest available voltage without checking,Short phase to protective earth permanently,Leave every surge device connected regardless of instructions,Disconnect or protect sensitive equipment and select the correct test voltage,D,Disconnect or protect sensitive equipment and select the correct test voltage,"Electronic controls, SPDs, drives, and appliances may be damaged by test voltage, so follow applicable procedures and manufacturer instructions.",4124
